id,name,real_team,role,quotation,fvm
57,Penev,Lecce,P,1,1
58,Pisseri,Frosinone,P,1,1
59,Radunovic,Cagliari,P,1,1
60,Montipò,Venezia,P,1,1
61,Bleve,Lecce,P,1,1
62,Grabara,Juventus,P,1,1
63,Mrozek,Udinese,P,1,1
64,Dimarco,Inter,D,31,253
65,"Molina N.",Roma,D,18,80
66,Wesley,Roma,D,17,82
67,Akanji,Inter,D,16,51
68,Bremer,Juventus,D,16,60
69,Mancini,Roma,D,15,49
70,Bastoni,Inter,D,14,43
71,Pavlovic,Milan,D,14,48
72,Rrahmani,Napoli,D,14,51
73,Kalulu,Juventus,D,13,46
74,N'Dicka,Roma,D,13,44
75,Solet,Udinese,D,13,46
76,Bisseck,Inter,D,12,37
77,Stones,Inter,D,12,30
78,Gila,Milan,D,12,31
79,"Di Lorenzo",Napoli,D,12,40
80,Spence,Inter,D,12,40
81,Ostigard,Genoa,D,11,43
82,Scalvini,Atalanta,D,10,28
83,Ramon,Como,D,10,32
84,Dodò,Fiorentina,D,10,20
85,Hermoso,Roma,D,10,26
86,Vasquez,Genoa,D,9,32
87,Cambiaso,Juventus,D,9,25
88,"Tiago Gabriel",Lecce,D,9,20
89,"Chalobah T.",Como,D,9,30
90,Hien,Atalanta,D,8,11
91,Zappacosta,Atalanta,D,8,19
92,Lucumì,Juventus,D,8,18
93,"Miranda J.",Bologna,D,8,24
94,Mina,Cagliari,D,8,20
95,"Jimenez A.",Fiorentina,D,8,23
96,Norton-Cuffy,Genoa,D,8,21
97,Celik,Juventus,D,8,15
98,Doekhi,Lazio,D,8,16
99,Bartesaghi,Milan,D,8,22
100,Spinazzola,Napoli,D,8,25
101,Delprato,Parma,D,8,21
102,Valeri,Parma,D,8,24
103,Koulierakis,Roma,D,8,17
104,Vojvoda,Udinese,D,8,19
105,"Kamara H.",Udinese,D,8,12
106,Couto,Como,D,8,26
107,Theate,Bologna,D,8,20
108,Obert,Cagliari,D,7,15
109,Kaiki,Como,D,7,16
110,Dragusin,Fiorentina,D,7,27
111,"Carlos Augusto",Inter,D,7,25
112,Romagnoli,Lazio,D,7,22
113,Gabbia,Milan,D,7,24
114,Tomori,Milan,D,7,8
115,Buongiorno,Napoli,D,7,15
116,Idzes,Sassuolo,D,7,19
117,Coco,Torino,D,7,14
118,Ismajli,Torino,D,7,13
119,"Kristensen T.",Atalanta,D,7,20
120,Badiashile,Napoli,D,7,21
121,"Sutalo J.",Lazio,D,7,19
122,Ahanor,Atalanta,D,6,14
123,Bellanova,Atalanta,D,6,17
124,Bernasconi,Atalanta,D,6,18
125,Heggem,Bologna,D,6,15
126,Zortea,Bologna,D,6,19
127,Valle,Como,D,6,21
128,Valdepenas,Fiorentina,D,6,18
129,Viery,Fiorentina,D,6,17
130,Monterisi,Frosinone,D,6,13
131,Marcandalli,Genoa,D,6,14
132,Pavard,Inter,D,6,14
133,"Tavares N.",Lazio,D,6,12
134,Marusic,Lazio,D,6,20
135,"Gaspar K.",Lecce,D,6,12
136,"Veiga D.",Lecce,D,6,12
137,Gallo,Lecce,D,6,13
138,Mangas,Monza,D,6,15
139,Beukema,Napoli,D,6,12
140,Comuzzo,Torino,D,6,13
141,Bella-Kotchap,Venezia,D,6,13
142,Obrador,Sassuolo,D,6,15
143,Balerdi,Roma,D,6,11
144,Kolasinac,Atalanta,D,5,8
145,Vitik,Bologna,D,5,10
146,Holm,Bologna,D,5,13
147,Kofler,Cagliari,D,5,8
148,"Zè Pedro",Cagliari,D,5,13
149,Kempf,Como,D,5,13
150,Parisi,Fiorentina,D,5,10
151,Bracaglia,Frosinone,D,5,12
152,"Oyono A.",Frosinone,D,5,10
153,Martin,Genoa,D,5,8
154,"Kelly L.",Juventus,D,5,12
155,Pedraza,Lazio,D,5,15
156,Siebert,Lecce,D,5,12
157,Olivera,Napoli,D,5,13
158,Rensch,Roma,D,5,14
159,"Moreno M.",Venezia,D,5,6
160,"Correia T.",Venezia,D,5,12
161,Haps,Venezia,D,5,10
162,Fortini,Torino,D,5,12
163,"Leysen F.",Sassuolo,D,5,12
164,"Rodriguez Ju.",Cagliari,D,4,14
165,"Smolcic I.",Como,D,4,10
166,Pongracic,Fiorentina,D,4,8
167,Calvani,Frosinone,D,4,12
168,Mitaj,Genoa,D,4,10
169,Gatti,Juventus,D,4,10
170,"De Winter",Milan,D,4,12
171,Estupinan,Milan,D,4,13
172,"Delli Carri",Monza,D,4,11
173,Lucchesi,Monza,D,4,11
174,Birindelli,Monza,D,4,12
175,Troilo,Parma,D,4,14
176,Valenti,Parma,D,4,10
177,Ghilardi,Roma,D,4,10
178,Walukiewicz,Sassuolo,D,4,10
179,Doig,Sassuolo,D,4,10
180,Comert,Torino,D,4,12
181,Kabasele,Udinese,D,4,12
182,Bertola,Udinese,D,4,10
183,Zanoli,Udinese,D,4,10
184,Arizala,Udinese,D,4,8
185,Halhal,Venezia,D,4,10
186,Terzic,Frosinone,D,4,8
187,Favasuli,Napoli,D,4,11
188,Kossounou,Atalanta,D,3,12
189,Casale,Bologna,D,3,5
190,Helland,Bologna,D,3,12
191,"Idrissi R.",Cagliari,D,3,3
192,"Ranieri L.",Fiorentina,D,3,10
193,"Joao Mario",Fiorentina,D,3,12
194,Akpoguma,Frosinone,D,3,6
195,Cittadini,Frosinone,D,3,8
196,Provstgaard,Lazio,D,3,14
197,"Floriani Mussolini",Lazio,D,3,10
198,Kouadio,Monza,D,3,14
199,"Carboni A.",Monza,D,3,9
200,Britschgi,Parma,D,3,10
201,Candè,Sassuolo,D,3,7
202,Palma,Udinese,D,3,11
203,Ebosse,Udinese,D,3,5
204,Schingtienne,Venezia,D,3,10
205,Sverko,Venezia,D,3,7
206,Hainaut,Venezia,D,3,12
207,Odenthal,Sassuolo,D,3,8
208,Tchato,Frosinone,D,3,8
209,Kambwala,Como,D,3,8
210,Alhassane,Bologna,D,2,6
211,"Van Der Brempt",Sassuolo,D,2,5
212,Otoa,Genoa,D,2,5
213,Puczka,Genoa,D,2,3
214,Sabelli,Genoa,D,2,5
215,Lazzari,Lazio,D,2,5
216,"Pellegrini Lu.",Lazio,D,2,7
217,Jean,Lecce,D,2,4
218,Ndaba,Lecce,D,2,5
219,"Diawara S.",Milan,D,2,4
220,Bakoune,Monza,D,2,4
221,"Marin R.",Napoli,D,2,8
222,Ndiaye,Parma,D,2,8
223,Biraghi,Torino,D,2,5
224,Abankwah,Udinese,D,2,10
225,Franjic,Venezia,D,2,7
226,Sagrado,Venezia,D,2,4
227,Aurelio,Cagliari,D,2,5
228,Cinquegrano,Sassuolo,D,2,4
229,"Terracciano F.",Milan,D,2,4
230,"De Silvestri",Bologna,D,1,4
231,Goldaniga,Como,D,1,1
232,Amey,Frosinone,D,1,1
233,Rugani,Juventus,D,1,3
234,Cabal,Juventus,D,1,4
235,Patric,Lazio,D,1,1
236,Antov,Monza,D,1,2
237,Marianucci,Napoli,D,1,3
238,Mazzocchi,Napoli,D,1,3
239,"Carboni F.",Parma,D,1,3
240,Ziolkowski,Roma,D,1,2
241,Missori,Sassuolo,D,1,2
242,Pieragnolo,Sassuolo,D,1,1
243,Mlacic,Udinese,D,1,3
244,Gomes,Venezia,D,1,1
245,"Omar Fayed",Frosinone,D,1,1
246,Macchioni,Sassuolo,D,1,1
247,Lulli,Roma,D,1,3
248,Maye,Monza,D,1,1
249,Drobnic,Parma,D,1,1
250,"Dembelè A.",Lecce,D,1,2
251,"Paz N.",Como,C,29,247
252,Calhanoglu,Inter,C,28,236
253,McTominay,Napoli,C,28,228
254,Orsolini,Bologna,C,25,192
255,Pulisic,Milan,C,24,160
256,Rabiot,Milan,C,23,145
257,Baturina,Como,C,19,97
258,Mora,Roma,C,19,95
259,"Da Cunha",Como,C,18,87
260,Zaniolo,Udinese,C,18,85
261,Barella,Inter,C,17,80
262,McKennie,Juventus,C,17,70
263,Atta,Fiorentina,C,16,86
264,Zaccagni,Lazio,C,16,88
265,"De Bruyne",Napoli,C,16,107
266,"Gudmundsson A.",Fiorentina,C,13,40
267,"Taylor K.",Lazio,C,13,57
268,Vlasic,Torino,C,13,75
269,"Ederson D.S.",Atalanta,C,12,49
270,Samardzic,Atalanta,C,12,41
271,"Rodriguez Je.",Como,C,12,31
272,Alajbegovic,Juventus,C,12,50
273,Conceicao,Juventus,C,12,67
274,Modric,Milan,C,12,46
275,Mastantuono,Fiorentina,C,12,54
276,Moreira,Milan,C,12,50
277,"Jones C.",Inter,C,12,48
278,Kessiè,Atalanta,C,12,47
279,Rowe,Bologna,C,11,44
280,Baldanzi,Genoa,C,11,30
281,Zielinski,Inter,C,11,45
282,"Zambo Anguissa",Napoli,C,11,47
283,Ekkelenkamp,Udinese,C,11,45
284,"Gonzalez N.",Juventus,C,11,41
285,Perrone,Como,C,10,37
286,"Thuram K.",Juventus,C,10,35
287,Saelemaekers,Milan,C,10,35
288,Politano,Napoli,C,10,40
289,Vergara,Napoli,C,10,40
290,"Konè M.",Roma,C,10,42
291,Thorstvedt,Sassuolo,C,10,40
292,Casadei,Torino,C,10,32
293,"Pellegrini Lo.",Roma,C,10,25
294,Pasalic,Atalanta,C,9,24
295,Bernardeschi,Bologna,C,9,30
296,Mandragora,Fiorentina,C,9,23
297,Diouf,Inter,C,9,44
298,Frattesi,Lazio,C,9,68
299,Cancellieri,Lazio,C,9,28
300,Isaksen,Lazio,C,9,22
301,"Konè I.",Sassuolo,C,9,20
302,Gaetano,Atalanta,C,8,30
303,Odgaard,Bologna,C,8,17
304,Cambiaghi,Bologna,C,8,21
305,Fagioli,Fiorentina,C,8,22
306,Ndour,Fiorentina,C,8,25
307,"Sucic P.",Inter,C,8,21
308,Locatelli,Juventus,C,8,33
309,Colpani,Monza,C,8,15
310,Lobotka,Napoli,C,8,22
311,Cristante,Roma,C,8,29
312,Volpato,Sassuolo,C,8,23
313,Schmid,Frosinone,C,8,28
314,Ferguson,Bologna,C,7,23
315,Adopo,Cagliari,C,7,13
316,Romano,Cagliari,C,7,20
317,Fazzini,Cagliari,C,7,24
318,Calò,Frosinone,C,7,25
319,Frendrup,Genoa,C,7,20
320,Rovella,Lazio,C,7,16
321,"Coulibaly L.",Lecce,C,7,17
322,Chukwueze,Milan,C,7,22
323,Pessina,Monza,C,7,15
324,Bernabè,Parma,C,7,35
325,Pisilli,Roma,C,7,17
326,Oristanio,Torino,C,7,12
327,Karlstrom,Udinese,C,7,20
328,"Unai Gomez",Udinese,C,7,17
329,Sow,Genoa,C,7,15
330,Elmas,Atalanta,C,7,28
331,Zalewski,Atalanta,C,6,20
332,Pobega,Bologna,C,6,13
333,Winks,Cagliari,C,6,15
334,Milla,Como,C,6,20
335,Caqueret,Como,C,6,17
336,Liberali,Como,C,6,21
337,Oulai,Fiorentina,C,6,20
338,Ellertsson,Genoa,C,6,18
339,Zhegrova,Juventus,C,6,20
340,Pierotti,Lecce,C,6,19
341,Akinsanmiro,Monza,C,6,12
342,"Nicolussi Caviglia",Parma,C,6,16
343,Matic,Sassuolo,C,6,15
344,Gineitis,Torino,C,6,12
345,Basic,Venezia,C,6,19
346,"Tourè I.",Monza,C,6,14
347,Amondarain,Bologna,C,5,12
348,Felici,Cagliari,C,5,8
349,Addai,Como,C,5,10
350,Zerbin,Frosinone,C,5,12
351,Amorim,Genoa,C,5,11
352,Meichtry,Genoa,C,5,11
353,"Traorè Hj.",Genoa,C,5,11
354,Mkhitaryan,Inter,C,5,10
355,Koopmeiners,Juventus,C,5,13
356,Dele-Bashiru,Lazio,C,5,13
357,"Berisha M.",Lecce,C,5,12
358,Gandelman,Lecce,C,5,10
359,"Fofana Y.",Milan,C,5,10
360,Jashari,Milan,C,5,13
361,"Keita M.",Parma,C,5,15
362,Adzic,Sassuolo,C,5,16
363,Bakola,Sassuolo,C,5,14
364,Cacciamani,Torino,C,5,20
365,Njie,Fiorentina,C,5,23
366,Piotrowski,Udinese,C,5,15
367,Busio,Venezia,C,5,14
368,Sohm,Venezia,C,5,11
369,"Perez K.",Venezia,C,5,15
370,Grillitsch,Frosinone,C,5,10
371,"Cissè A.",Milan,C,5,25
372,"De Roon",Roma,C,4,8
373,"Moro N.",Bologna,C,4,14
374,"Dominguez B.",Sassuolo,C,4,12
375,Deiola,Cagliari,C,4,8
376,Fabbian,Parma,C,4,8
377,Cichella,Frosinone,C,4,12
378,Koutsoupias,Frosinone,C,4,11
379,Fini,Frosinone,C,4,13
380,Messias,Genoa,C,4,8
381,"Luis Henrique",Inter,C,4,12
382,"Douglas Luiz",Juventus,C,4,15
383,Cataldi,Lazio,C,4,12
384,Ngom,Lecce,C,4,13
385,"Ricci S.",Como,C,4,10
386,Loftus-Cheek,Milan,C,4,18
387,Folorunsho,Monza,C,4,17
388,Almqvist,Parma,C,4,11
389,"Diallo O.",Parma,C,4,12
390,"El Aynaoui",Roma,C,4,18
391,Fitz-Jim,Torino,C,4,18
392,Ilkhan,Torino,C,4,10
393,"Miller L.",Udinese,C,4,12
394,"Sulemana I.",Atalanta,C,3,7
395,Brescianini,Fiorentina,C,3,12
396,"Gelli F.",Frosinone,C,3,8
397,Hasa,Frosinone,C,3,5
398,Masini,Frosinone,C,3,8
399,"Stankovic A.",Inter,C,3,7
400,Gorter,Lecce,C,3,12
401,Maleh,Lecce,C,3,7
402,Musah,Milan,C,3,15
403,"Colombo L.",Monza,C,3,4
404,Gilmour,Napoli,C,3,10
405,"Ordonez C.",Parma,C,3,5
406,"Sorensen O.",Parma,C,3,12
407,Aboukhlal,Torino,C,3,5
408,Helgason,Venezia,C,3,3
409,"El Azzouzi O.",Bologna,C,2,10
410,Fadera,Cagliari,C,2,12
411,Venturino,Genoa,C,2,4
412,Ciurria,Monza,C,2,6
413,Boloca,Sassuolo,C,2,5
414,Lipani,Sassuolo,C,2,5
415,Chakvetadze,Udinese,C,2,6
416,Duncan,Venezia,C,2,4
417,"Forson O.",Monza,C,2,1
418,Liteta,Cagliari,C,1,1
419,Lahdo,Como,C,1,1
420,"El Azzouzi A.",Frosinone,C,1,1
421,"Kone B.",Frosinone,C,1,3
422,Belahyane,Lazio,C,1,3
423,Przyborek,Lazio,C,1,5
424,Kaba,Lecce,C,1,2
425,"Fofana Sa.",Lecce,C,1,1
426,Cremaschi,Parma,C,1,3
427,Iannoni,Sassuolo,C,1,1
428,Ilic,Lecce,C,1,8
429,Anjorin,Torino,C,1,4
430,Zarraga,Udinese,C,1,4
431,Dagasso,Venezia,C,1,1
432,Laerke,Lecce,C,1,1
433,Comotto,Milan,C,1,1
434,"Foe Ondoa",Monza,C,1,2
435,Mout,Monza,C,1,12
436,Ciervo,Cagliari,C,1,1
437,Malen,Roma,A,36,414
438,"Martinez L.",Inter,A,34,367
439,Thuram,Inter,A,28,263
440,"Ramos G.",Milan,A,27,228
441,Hojlund,Napoli,A,27,257
442,Kean,Fiorentina,A,25,187
443,"Kolo Muani",Juventus,A,25,211
444,Yildiz,Juventus,A,22,150
445,Douvikas,Como,A,21,170
446,Krstovic,Atalanta,A,19,100
447,Scamacca,Atalanta,A,19,123
448,"Davis K.",Udinese,A,19,109
449,Berardi,Sassuolo,A,18,101
450,"De Ketelaere",Atalanta,A,17,98
451,"Esposito F.P.",Inter,A,17,105
452,Dovbyk,Bologna,A,15,58
453,Dybala,Roma,A,15,95
454,Laurientè,Sassuolo,A,15,86
455,Simeone,Torino,A,15,80
456,Raspadori,Atalanta,A,14,76
457,"Santos A.",Napoli,A,14,62
458,"Pellegrino M.",Fiorentina,A,14,50
459,"Castro S.",Roma,A,14,76
460,"Esposito Se.",Sassuolo,A,13,40
461,Pinamonti,Lazio,A,13,51
462,"Kevin Carlos",Cagliari,A,13,37
463,Soulè,Roma,A,12,45
464,"Adams A.",Venezia,A,12,45
465,Diao,Como,A,11,47
466,Colombo,Genoa,A,11,55
467,"Tourè E.",Parma,A,11,43
468,Dia,Lazio,A,10,30
469,Ratkov,Lazio,A,10,26
470,Bowie,Sassuolo,A,10,39
471,"Adams C.",Torino,A,10,33
472,"Romero D.",Parma,A,10,37
473,Ghedjemis,Frosinone,A,9,23
474,David,Juventus,A,9,37
475,Geubbels,Lecce,A,9,23
476,Cutrone,Monza,A,9,30
477,Bobcek,Frosinone,A,9,38
478,Piccoli,Bologna,A,8,37
479,"Vitinha O.",Genoa,A,8,16
480,"Yeboah J.",Venezia,A,8,27
481,"Rrahmani Al.",Venezia,A,8,18
482,Osmajic,Genoa,A,8,30
483,Raimondo,Frosinone,A,7,15
484,Bonny,Inter,A,7,18
485,Stulic,Lecce,A,7,12
486,"Zapata D.",Torino,A,7,18
487,"Sulemana K.",Atalanta,A,6,10
488,Mutandwa,Cagliari,A,6,10
489,Boga,Juventus,A,6,26
490,Noslin,Lazio,A,6,17
491,Gimenez,Milan,A,6,10
492,Neres,Napoli,A,6,17
493,Maldini,Cagliari,A,5,21
494,Camarda,Milan,A,5,20
495,Mota,Monza,A,5,10
496,"Varela G.",Monza,A,5,20
497,Frigan,Parma,A,5,10
498,Adorante,Venezia,A,5,12
499,Milik,Juventus,A,5,13
500,Birligea,Frosinone,A,5,14
501,Ngonge,Monza,A,5,13
502,Borrelli,Cagliari,A,4,9
503,"Mendy P.",Cagliari,A,4,14
504,Kvernadze,Frosinone,A,4,17
505,Havel,Genoa,A,4,9
506,Giovane,Napoli,A,4,10
507,Lang,Napoli,A,4,12
508,Lucca,Napoli,A,4,10
509,Kulenovic,Torino,A,4,9
510,Gueye,Udinese,A,4,7
511,"Robinson J.",Monza,A,4,5
512,Fatah,Lecce,A,4,17
513,Kuhn,Como,A,3,5
514,Ekhator,Juventus,A,3,10
515,N'Dri,Lecce,A,3,15
516,Elphege,Parma,A,3,11
517,Lontani,Parma,A,2,10
518,Trepy,Cagliari,A,1,2
519,Azon,Como,A,1,1
520,Vaz,Roma,A,1,4
521,"Bayo V.",Udinese,A,1,3
522,Lisman,Venezia,A,1,1
523,Lauberbach,Venezia,A,1,1
524,"De Martis",Parma,A,1,1
